Class_ID,Class_Name,Unicode_Character,Precision,Recall,F1_Score,Support
198,199,ලා,1.0,0.9166666666666666,0.9565217391304348,24
199,200,ලැ,1.0,0.9583333333333334,0.9787234042553191,24
200,201,ලෑ,1.0,0.75,0.8571428571428571,24
201,202,ලි,0.92,0.9583333333333334,0.9387755102040817,24
202,203,ලී,0.8888888888888888,1.0,0.9411764705882353,24
203,204,ලු,0.8695652173913043,0.8333333333333334,0.851063829787234,24
204,205,ලූ,0.875,0.875,0.875,24
205,206,ල්,1.0,1.0,1.0,24
206,207,",da",0.9230769230769231,1.0,0.96,24
207,208,ව,0.96,1.0,0.9795918367346939,24
208,209,වා,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
209,210,වැ,0.96,1.0,0.9795918367346939,24
210,211,වෑ,0.9444444444444444,0.7083333333333334,0.8095238095238095,24
211,212,වි,0.8518518518518519,0.9583333333333334,0.9019607843137255,24
212,213,වී,0.875,0.875,0.875,24
213,214,වු,0.8,0.8333333333333334,0.8163265306122449,24
214,215,වූ,0.76,0.7916666666666666,0.7755102040816326,24
215,216,ව්,1.0,0.75,0.8571428571428571,24
216,217,jda,0.9230769230769231,1.0,0.96,24
217,218,ව්‍ර,0.8888888888888888,1.0,0.9411764705882353,24
218,219,ව්‍රා,0.96,1.0,0.9795918367346939,24
219,220,ව්‍රැ,0.8846153846153846,0.9583333333333334,0.92,24
220,221,ව්‍රෑ,0.9411764705882353,0.6666666666666666,0.7804878048780488,24
221,222,j%da,0.8275862068965517,1.0,0.9056603773584906,24
222,223,ශ,1.0,0.9583333333333334,0.9787234042553191,24
223,224,ශා,1.0,0.9166666666666666,0.9565217391304348,24
224,225,ශැ,0.9230769230769231,1.0,0.96,24
225,226,ශෑ,1.0,0.75,0.8571428571428571,24
226,227,ශි,1.0,0.9583333333333334,0.9787234042553191,24
227,228,ශී,0.8571428571428571,1.0,0.9230769230769231,24
228,229,ශු,0.9545454545454546,0.875,0.9130434782608695,24
229,230,ශූ,0.9230769230769231,1.0,0.96,24
230,231,ශ්,0.8888888888888888,1.0,0.9411764705882353,24
231,232,Yda,0.9473684210526315,0.75,0.8372093023255814,24
232,233,ශ්‍ර,0.7666666666666667,0.9583333333333334,0.8518518518518519,24
233,234,ශ්‍රා,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
234,235,ශ්‍රැ,1.0,1.0,1.0,24
235,236,ශ්‍රෑ,1.0,0.5416666666666666,0.7027027027027027,24
236,237,ශ්‍රි,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
237,238,ශ්‍රී,0.8148148148148148,0.9166666666666666,0.8627450980392157,24
238,239,Y%da,0.9230769230769231,1.0,0.96,24
239,240,ෂ,0.6451612903225806,0.8333333333333334,0.7272727272727273,24
240,241,ෂා,1.0,0.75,0.8571428571428571,24
241,242,ෂැ,0.96,1.0,0.9795918367346939,24
242,243,ෂෑ,1.0,0.875,0.9333333333333333,24
243,244,ෂි,1.0,1.0,1.0,24
244,245,ෂී,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
245,246,ෂු,1.0,0.9583333333333334,0.9787234042553191,24
246,247,ෂූ,0.9545454545454546,0.875,0.9130434782608695,24
247,248,ෂ්,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
